Variable,NonDM_mean,DM_mean,Cohen_d,p,sig
age,46.2732,48.967,0.219,0.0,***
BMI,24.3976,27.2919,0.76,0.0,***
waist_circumference_cm,82.2636,88.1084,0.495,0.0,***
fasting_glucose,95.6531,106.0735,0.645,0.0,***
HbA1c,5.5466,5.9503,0.806,0.0,***
HOMA_IR,2.1854,3.1958,0.747,0.0,***
systolic_BP,124.1348,128.6813,0.273,0.0,***
HDL,50.344,46.4099,-0.318,0.0,***
triglycerides,139.9124,160.089,0.3,0.0,***
CRP,1.9481,2.3818,0.228,0.0,***
stress_score_PSS,19.7056,20.5157,0.124,0.0,***
genetic_risk_score,51.4102,53.6225,0.143,0.0,***
