covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.25119146026383943,1.2855561936983873,0.027350314137057706,0.19758582958934964,0.30479709093832924,1.2184576402006488,1.3563497594254776,0.0,9.18422578274862,4.144982236524716e-20,64.38719597873614
sex,0.1775490923965799,1.194286686858991,0.06317097753507518,0.053736251559643705,0.3013619332335161,1.0552062564456783,1.3516984776161172,0.0,2.8106117607250445,0.004944741244646872,7.659889257071433
BMI,0.2829563308126307,1.327047209478562,0.032980171635467445,0.21831638220316507,0.34759627942209637,1.2439805786820088,1.4156606030382453,0.0,8.57958939511202,9.521239989407945e-18,56.54355623422134
fasting_glucose,0.35592275326523043,1.427497274501408,0.030127608242824053,0.29687372616896324,0.4149717803614976,1.3456453689234833,1.5143280063001647,0.0,11.813840328662861,3.310857480317953e-32,104.57449412679746
HbA1c,0.6854267791993351,1.98461864878108,0.029319423605945694,0.6279617648842081,0.7428917935144622,1.8737874649743658,2.102005299274175,0.0,23.377907710993924,7.171447551941085e-121,399.11103512601073
HOMA_IR,0.34079160741426684,1.406060197808912,0.028521385236240582,0.28489071956204287,0.3966924952664908,1.329616719084524,1.48689863137676,0.0,11.948634492732891,6.600074418056724e-33,106.90114483984883
systolic_BP,0.14020858021435292,1.150513748236234,0.027613375582729974,0.08608735858062444,0.1943298018480814,1.0899015363976863,1.2144967601895367,0.0,5.07756032196377,3.823121472590796e-07,21.318745624352804
HDL,-0.1306247832650609,0.8775469829385969,0.031046991794930492,-0.19147576901143526,-0.06977379751868658,0.8257396333516852,0.9326047535575305,0.0,-4.207324952055097,2.5841142973595635e-05,15.239970591484296
triglycerides,0.1488989730754812,1.1605557359095835,0.027490219362855874,0.09501913319717806,0.20277881295378433,1.099679895317089,1.2248015280521827,0.0,5.416434518404387,6.079924264268194e-08,23.971371406523
CRP,0.06472025852712614,1.066860537498448,0.025666011336635455,0.014415800680523914,0.11502471637372835,1.0145202094438346,1.1219011665577758,0.0,2.5216328972295345,0.01168115418827443,6.419673359098521
sleep_hours,0.0067310189988669476,1.006753723219509,0.02737278311405002,-0.046918650061297244,0.060380688059031136,0.9541650156987537,1.0622408519915174,0.0,0.2459018862211355,0.8057581836635903,0.31158115883068777
physical_activity_MET,-0.22943885217579504,0.7949795784231424,0.028679482201718145,-0.2856496043864201,-0.17322809996517,0.7515259011964649,0.8409457732643347,0.0,-8.000104414787854,1.2431374917638395e-15,49.51493555514517
stress_score_PSS,0.22144227565670385,1.2478752133644955,0.028171183623961298,0.16622777035187514,0.27665678096153257,1.1808420319000676,1.3187136857110682,0.0,7.860595373364212,3.823118980063877e-15,47.89417132403322
depression_score_PHQ9,0.03628848621140872,1.0369549505502367,0.02827611929396274,-0.01913168922731639,0.09170866165013383,0.9810501599981921,1.096045455486828,0.0,1.2833616181254657,0.19936541423056156,2.3265129411483816
family_history,0.34377423264461643,1.4102602088461045,0.058415697001507186,0.2292815703898579,0.45826689489937494,1.2576961191448495,1.581330995922079,0.0,5.884963293954136,3.981423441343499e-09,27.90406853763374
genetic_risk,0.19457022153093295,1.2147887842182012,0.028154158771701028,0.1393890843233765,0.24975135873848942,1.149571293168814,1.283706194675851,0.0,6.910887414846291,4.816311949682961e-12,37.595208301018005
smoking_current,-0.053743581821979386,0.9476750764659722,0.06824977731470165,-0.18751068731167342,0.08002352366771465,0.8290202581351731,1.083312550859706,0.0,-0.7874543176040885,0.43101596042475276,1.2141868019086925
alcohol_heavy,-0.019022756824161016,0.9811570339706502,0.07014125443043932,-0.1564970893382826,0.11845157568996056,0.8551340067051041,1.125752359000808,0.0,-0.2712063959880603,0.7862322939852525,0.3469724721384227
