feature,importance
HbA1c,0.13906573
BMI,0.12470495
family_history_diabetes,0.1135045
genetic_risk_score,0.05625613
smoking_former,0.04425862
fasting_glucose,0.04390333
depression_score_PHQ9,0.040580038
physical_activity_MET,0.0377074
diastolic_BP,0.03661178
ALT,0.03268396
triglycerides,0.03049848
waist_circumference_cm,0.025879981
creatinine,0.025534695
HDL,0.025267815
carb_intake_ratio,0.024785273
stress_score_PSS,0.019678531
age,0.019164853
body_fat_pct,0.018507987
sedentary_hours,0.01848674
smoking_current,0.015466182
nat_Korean,0.015457758
CRP,0.0149918655
sleep_hours,0.012295291
HOMA_IR,0.01216524
total_cholesterol,0.012079981
LDL,0.011830278
daily_calorie_intake,0.010418782
fasting_insulin,0.007834703
systolic_BP,0.005695368
nat_Chinese,0.0046837423
sex_num,0.0
alcohol_heavy,0.0
alcohol_moderate,0.0
nat_Other,0.0
