,Korean,Chinese,Other,Overall
BMI,0.17259689,0.17229591,0.17150797,0.17243262
family_history_diabetes,0.13691731,0.13599765,0.13778225,0.13682294
HbA1c,0.13032128,0.13397774,0.12951243,0.130952
fasting_glucose,0.05355116,0.052964263,0.053734094,0.05345501
genetic_risk_score,0.044141147,0.043232676,0.04169304,0.043726664
diastolic_BP,0.019029265,0.019248895,0.019930292,0.01915952
physical_activity_MET,0.01237555,0.011270984,0.011673879,0.01209301
HDL,0.012113705,0.01176411,0.012249026,0.012059015
creatinine,0.008911594,0.008809984,0.008938971,0.00889453
age,0.008597553,0.00809909,0.008281228,0.008470075
ALT,0.0070325723,0.007116219,0.006903141,0.0070361993
triglycerides,0.0064783213,0.0062082307,0.0063462406,0.0064130775
depression_score_PHQ9,0.0063390476,0.006251022,0.0066865357,0.006355781
smoking_current,0.006139995,0.006133474,0.0061169816,0.006136496
body_fat_pct,0.005832285,0.005803285,0.0056914333,0.005812951
sedentary_hours,0.0044667698,0.004510604,0.0043495754,0.004463949
daily_calorie_intake,0.0037154634,0.0037364226,0.0037894615,0.0037267304
total_cholesterol,0.0036027576,0.0035418228,0.003533808,0.0035842243
fasting_insulin,0.0027340406,0.002230493,0.002232737,0.0025875836
carb_intake_ratio,0.0024207265,0.0024445923,0.0023152502,0.0024151064
waist_circumference_cm,0.002292359,0.0023217283,0.002244288,0.002293385
systolic_BP,0.0020678488,0.0021103916,0.0020373468,0.0020731299
stress_score_PSS,0.0012566238,0.0012593023,0.00127312,0.0012587315
smoking_former,0.0012437064,0.001282599,0.0012871213,0.001255497
nat_Korean,0.00088268815,0.0021500937,0.0020836822,0.0012454452
HOMA_IR,0.0008213489,0.00084668875,0.0008158243,0.00082572974
LDL,0.0008276327,0.0008090677,0.00078659743,0.0008200431
sleep_hours,0.0007660196,0.00075918564,0.0007548484,0.0007636001
CRP,0.00043825372,0.00045389734,0.00045885783,0.00044329296
nat_Chinese,0.00017095554,0.0007328476,0.00016807142,0.00027967393
sex_num,0.0,0.0,0.0,0.0
alcohol_heavy,0.0,0.0,0.0,0.0
alcohol_moderate,0.0,0.0,0.0,0.0
nat_Other,0.0,0.0,0.0,0.0
